지점,일시,평균 수온(°C)
22101,2012-01-01,5.5
22101,2012-01-02,5.1
22101,2012-01-03,5.2
22101,2012-01-04,5.2
22101,2012-01-05,4.9
22101,2012-01-06,4.9
22101,2012-01-07,4.6
22101,2012-01-10,4.4
22101,2012-01-11,4
22101,2012-01-15,3.8
22101,2012-01-16,3.8
22101,2012-01-17,4
22101,2012-01-18,3.9
22101,2012-01-19,3.9
22101,2012-01-20,3.9
22101,2012-01-21,3.8
22101,2012-01-22,3.4
22101,2012-01-23,3.1
22101,2012-01-24,2.8
22101,2012-01-25,2.6
22101,2012-01-26,2.6
22101,2012-01-27,2.8
22101,2012-01-28,2.6
22101,2012-01-29,2.5
22101,2012-01-30,2.3
22101,2012-01-31,2.2
22101,2012-02-01,2.2
22101,2012-02-02,2.1
22101,2012-02-03,2
22101,2012-02-04,2.1
22101,2012-02-05,1.9
22101,2012-02-06,1.9
22101,2012-02-07,1.6
22101,2012-02-08,1.3
22101,2012-02-09,1.3
22101,2012-02-10,1.2
22101,2012-02-11,1.2
22101,2012-02-12,1.3
22101,2012-02-13,1.5
22101,2012-02-14,1.6
22101,2012-02-15,1.4
22101,2012-02-17,1.1
22101,2012-02-18,1
22101,2012-02-19,1
22101,2012-02-20,1.1
22101,2012-02-21,1.2
22101,2012-02-22,1.3
22101,2012-02-23,1.4
22101,2012-02-29,1.7
22101,2012-03-01,1.7
22101,2012-03-09,2.5
22101,2012-03-10,2.8
22101,2012-03-11,2.5
22101,2012-03-12,2.8
22101,2012-03-13,2.9
22101,2012-03-14,2.7
22101,2012-03-15,2.9
22101,2012-03-16,2.8
22101,2012-03-17,3.2
22101,2012-03-21,3.5
22101,2012-03-22,3.7
22101,2012-03-23,3.6
22101,2012-03-24,3.5
22101,2012-03-25,3.5
22101,2012-03-26,3.7
22101,2012-03-27,3.7
22101,2012-03-28,4
22101,2012-03-29,4
22101,2012-03-30,4.1
22101,2012-03-31,4
22101,2012-04-01,4.1
22101,2012-04-02,4
22101,2012-04-03,4
22101,2012-04-04,4.2
22101,2012-04-08,4.6
22101,2012-04-15,5.3
22101,2012-04-16,5.4
22101,2012-04-17,5.7
22101,2012-04-18,5.8
22101,2012-04-19,6
22101,2012-04-20,6.2
22101,2012-04-21,6.2
22101,2012-04-22,6.2
22101,2012-04-23,6.4
22101,2012-04-24,6.6
22101,2012-04-25,6.6
22101,2012-04-26,6.6
22101,2012-04-27,6.7
22101,2012-04-28,6.9
22101,2012-04-29,7.2
