지점,일시,평균 수온(°C)
22101,2014.11.1,18.2
22101,2014.11.2,18.1
22101,2014.11.3,17.7
22101,2014.11.4,17.5
22101,2014.11.5,17.2
22101,2014.11.6,17.2
22101,2014.11.7,17.1
22101,2014.11.8,16.9
22101,2014.11.9,16.7
22101,2014.11.10,16.6
22101,2014.11.11,16.4
22101,2014.11.12,16.1
22101,2014.11.13,15.5
22101,2014.11.14,15.2
22101,2014.11.15,14.9
22101,2014.11.16,14.7
22101,2014.11.17,14.7
22101,2014.11.18,14.6
22101,2014.11.19,14.4
22101,2014.11.20,14.4
22101,2014.11.21,14.2
22101,2014.11.22,
22101,2014.11.23,14
22101,2014.11.24,14
22101,2014.11.25,13.8
22101,2014.11.26,13.7
22101,2014.11.27,13.7
22101,2014.11.28,13.7
22101,2014.11.29,13.7
22101,2014.11.30,13.6
22101,2014.12.1,13.3
22101,2014.12.2,12.8
22101,2014.12.3,12.2
22101,2014.12.4,11.7
22101,2014.12.5,11.4
22101,2014.12.6,11.1
22101,2014.12.7,10.7
22101,2014.12.8,10.5
22101,2014.12.9,10.2
22101,2014.12.10,10.2
22101,2014.12.11,10
22101,2014.12.12,9.8
22101,2014.12.13,9.6
22101,2014.12.14,9.4
22101,2014.12.15,9.3
22101,2014.12.16,9.1
22101,2014.12.17,8.7
22101,2014.12.18,8.4
22101,2014.12.19,7.9
22101,2014.12.20,7.3
22101,2014.12.21,7.1
22101,2014.12.22,6.8
22101,2014.12.23,6.8
22101,2014.12.24,6.8
22101,2014.12.25,6.6
22101,2014.12.26,6.5
22101,2014.12.27,6.5
22101,2014.12.28,6.4
22101,2014.12.29,6.4
22101,2014.12.30,6.4
22101,2014.12.31,6.3
22101,2015.1.1,6
22101,2015.1.2,5.8
22101,2015.1.3,5.5
22101,2015.1.4,5.5
22101,2015.1.5,5.4
22101,2015.1.6,5.4
22101,2015.1.7,5
22101,2015.1.8,4.9
22101,2015.1.9,4.9
22101,2015.1.10,4.8
22101,2015.1.11,4.6
22101,2015.1.12,4.6
22101,2015.1.13,4.5
22101,2015.1.14,4.5
22101,2015.1.15,4.6
22101,2015.1.16,4.6
22101,2015.1.17,4.4
22101,2015.1.18,4.4
22101,2015.1.19,4.3
22101,2015.1.20,
22101,2015.1.21,
22101,2015.1.22,4
22101,2015.1.23,4
22101,2015.1.24,4.2
22101,2015.1.25,4.2
22101,2015.1.26,4.2
22101,2015.1.27,4.2
22101,2015.1.28,4.1
22101,2015.1.29,4
22101,2015.1.30,4.1
22101,2015.1.31,3.9
