지점,지점명,일시(UTC),기압(hPa),고도(gpm),기온(°C)
47102,백령도,2014.11.1 0:00,10,30950,-49.5
47102,백령도,2014.11.1 0:00,20,26420,-53.5
47102,백령도,2014.11.1 0:00,30,23830,-56.7
47102,백령도,2014.11.1 0:00,50,20600,-58.5
47102,백령도,2014.11.1 0:00,70,18500,-61.3
47102,백령도,2014.11.1 0:00,100,16310,-62.3
47102,백령도,2014.11.1 0:00,150,13750,-55.3
47102,백령도,2014.11.1 0:00,200,11910,-55.7
47102,백령도,2014.11.1 0:00,250,10500,-55.1
47102,백령도,2014.11.1 0:00,300,9310,-45.7
47102,백령도,2014.11.1 0:00,400,7320,-28.5
47102,백령도,2014.11.1 0:00,500,5680,-14.1
47102,백령도,2014.11.1 0:00,700,3063,1
47102,백령도,2014.11.1 0:00,850,1490,6.4
47102,백령도,2014.11.1 0:00,925,789,12.4
47102,백령도,2014.11.1 0:00,1000,133,
47102,백령도,2014.11.1 12:00,10,30810,-49.1
47102,백령도,2014.11.1 12:00,20,26330,-55.9
47102,백령도,2014.11.1 12:00,30,23750,-56.5
47102,백령도,2014.11.1 12:00,50,20530,-59.1
47102,백령도,2014.11.1 12:00,70,18440,-61.5
47102,백령도,2014.11.1 12:00,100,16210,-60.3
47102,백령도,2014.11.1 12:00,150,13680,-57.9
47102,백령도,2014.11.1 12:00,200,11850,-55.5
47102,백령도,2014.11.1 12:00,250,10440,-54.9
47102,백령도,2014.11.1 12:00,300,9250,-45.3
47102,백령도,2014.11.1 12:00,400,7260,-28.7
47102,백령도,2014.11.1 12:00,500,5620,-16.5
47102,백령도,2014.11.1 12:00,700,3026,-2.1
47102,백령도,2014.11.1 12:00,850,1461,6.4
47102,백령도,2014.11.1 12:00,925,762,9.4
47102,백령도,2014.11.1 12:00,1000,112,
47102,백령도,2014.11.2 0:00,10,30870,-50.5
47102,백령도,2014.11.2 0:00,20,26380,-53.7
47102,백령도,2014.11.2 0:00,30,23800,-57.5
47102,백령도,2014.11.2 0:00,50,20560,-56.3
47102,백령도,2014.11.2 0:00,70,18460,-60.7
47102,백령도,2014.11.2 0:00,100,16220,-57.9
47102,백령도,2014.11.2 0:00,150,13630,-53.5
47102,백령도,2014.11.2 0:00,200,11770,-47.7
47102,백령도,2014.11.2 0:00,250,10290,-45.9
47102,백령도,2014.11.2 0:00,300,9070,-42.9
47102,백령도,2014.11.2 0:00,400,7080,-30.9
47102,백령도,2014.11.2 0:00,500,5470,-20.9
47102,백령도,2014.11.2 0:00,700,2950,-10.5
47102,백령도,2014.11.2 0:00,850,1432,-1.1
47102,백령도,2014.11.2 0:00,925,749,5.4
47102,백령도,2014.11.2 0:00,1000,105,
47102,백령도,2014.11.2 12:00,10,30790,-49.9
47102,백령도,2014.11.2 12:00,20,26290,-53.5
47102,백령도,2014.11.2 12:00,30,23720,-57.3
47102,백령도,2014.11.2 12:00,50,20490,-62.1
47102,백령도,2014.11.2 12:00,70,18380,-60.3
47102,백령도,2014.11.2 12:00,100,16160,-59.9
47102,백령도,2014.11.2 12:00,150,13600,-54.3
47102,백령도,2014.11.2 12:00,200,11720,-48.7
47102,백령도,2014.11.2 12:00,250,10250,-49.5
47102,백령도,2014.11.2 12:00,300,9050,-44.9
47102,백령도,2014.11.2 12:00,400,7090,-33.9
47102,백령도,2014.11.2 12:00,500,5490,-23.1
47102,백령도,2014.11.2 12:00,700,2957,-11.5
47102,백령도,2014.11.2 12:00,850,1454,-3.7
47102,백령도,2014.11.2 12:00,925,778,2.8
47102,백령도,2014.11.2 12:00,1000,141,
47102,백령도,2014.11.3 0:00,10,30970,-47.9
47102,백령도,2014.11.3 0:00,20,26440,-50.5
47102,백령도,2014.11.3 0:00,30,23830,-55.3
47102,백령도,2014.11.3 0:00,50,20560,-58.7
47102,백령도,2014.11.3 0:00,70,18440,-58.1
47102,백령도,2014.11.3 0:00,100,16220,-58.3
47102,백령도,2014.11.3 0:00,150,13630,-51.3
47102,백령도,2014.11.3 0:00,200,11760,-50.1
47102,백령도,2014.11.3 0:00,250,10290,-49.3
47102,백령도,2014.11.3 0:00,300,9090,-46.1
47102,백령도,2014.11.3 0:00,400,7130,-34.5
47102,백령도,2014.11.3 0:00,500,5540,-23.7
47102,백령도,2014.11.3 0:00,700,2996,-7.7
47102,백령도,2014.11.3 0:00,850,1478,-3.1
47102,백령도,2014.11.3 0:00,925,801,3.4
47102,백령도,2014.11.3 0:00,1000,161,9.6
47102,백령도,2014.11.3 12:00,10,30840,-47.9
47102,백령도,2014.11.3 12:00,20,26330,-50.9
47102,백령도,2014.11.3 12:00,30,23730,-56.1
47102,백령도,2014.11.3 12:00,50,20500,-59.5
47102,백령도,2014.11.3 12:00,70,18410,-61.5
47102,백령도,2014.11.3 12:00,100,16180,-60.1
47102,백령도,2014.11.3 12:00,150,13620,-54.9
47102,백령도,2014.11.3 12:00,200,11780,-53.7
47102,백령도,2014.11.3 12:00,250,10350,-52.9
47102,백령도,2014.11.3 12:00,300,9160,-48.1
47102,백령도,2014.11.3 12:00,400,7200,-33.1
47102,백령도,2014.11.3 12:00,500,5600,-21.3
47102,백령도,2014.11.3 12:00,700,3036,-6.3
47102,백령도,2014.11.3 12:00,850,1492,1.8
47102,백령도,2014.11.3 12:00,925,807,6
47102,백령도,2014.11.3 12:00,1000,163,10.6
47102,백령도,2014.11.4 0:00,10,30920,-49.1
47102,백령도,2014.11.4 0:00,20,26400,-52.1
47102,백령도,2014.11.4 0:00,30,23780,-53.5
47102,백령도,2014.11.4 0:00,50,20550,-57.3
47102,백령도,2014.11.4 0:00,70,18450,-59.3
47102,백령도,2014.11.4 0:00,100,16220,-60.5
47102,백령도,2014.11.4 0:00,150,13670,-55.1
47102,백령도,2014.11.4 0:00,200,11820,-53.5
47102,백령도,2014.11.4 0:00,250,10390,-53.7
47102,백령도,2014.11.4 0:00,300,9190,-45.3
47102,백령도,2014.11.4 0:00,400,7220,-33.3
47102,백령도,2014.11.4 0:00,500,5620,-22.3
47102,백령도,2014.11.4 0:00,700,3062,-6.1
47102,백령도,2014.11.4 0:00,850,1515,3.4
47102,백령도,2014.11.4 0:00,925,825,6.6
47102,백령도,2014.11.4 0:00,1000,180,12.4
47102,백령도,2014.11.4 12:00,10,30810,-50.1
47102,백령도,2014.11.4 12:00,20,26330,-53.7
47102,백령도,2014.11.4 12:00,30,23730,-59.1
47102,백령도,2014.11.4 12:00,50,20520,-62.5
47102,백령도,2014.11.4 12:00,70,18460,-62.9
47102,백령도,2014.11.4 12:00,100,16240,-60.1
47102,백령도,2014.11.4 12:00,150,13700,-53.9
47102,백령도,2014.11.4 12:00,200,11830,-49.7
47102,백령도,2014.11.4 12:00,250,10370,-50.9
47102,백령도,2014.11.4 12:00,300,9170,-46.9
47102,백령도,2014.11.4 12:00,400,7210,-33.3
47102,백령도,2014.11.4 12:00,500,5610,-22.3
47102,백령도,2014.11.4 12:00,700,3060,-6.1
47102,백령도,2014.11.4 12:00,850,1508,2.6
47102,백령도,2014.11.4 12:00,925,820,7.4
47102,백령도,2014.11.4 12:00,1000,172,12.6
47102,백령도,2014.11.5 0:00,100,,
47102,백령도,2014.11.5 0:00,150,13780,-55.5
47102,백령도,2014.11.5 0:00,200,11910,-50.7
47102,백령도,2014.11.5 0:00,250,10460,-52.1
47102,백령도,2014.11.5 0:00,300,9270,-45.5
47102,백령도,2014.11.5 0:00,400,7280,-28.3
47102,백령도,2014.11.5 0:00,500,5640,-17.5
47102,백령도,2014.11.5 0:00,700,3059,-3.9
47102,백령도,2014.11.5 0:00,850,1510,1.4
47102,백령도,2014.11.5 0:00,925,821,7.6
47102,백령도,2014.11.5 0:00,1000,171,13.4
47102,백령도,2014.11.5 12:00,20,26360,-54.3
47102,백령도,2014.11.5 12:00,30,23780,-60.5
47102,백령도,2014.11.5 12:00,50,20590,-61.7
47102,백령도,2014.11.5 12:00,70,18530,-62.3
47102,백령도,2014.11.5 12:00,100,16330,-61.3
47102,백령도,2014.11.5 12:00,150,13760,-54.3
47102,백령도,2014.11.5 12:00,200,11910,-51.7
47102,백령도,2014.11.5 12:00,250,10450,-49.5
47102,백령도,2014.11.5 12:00,300,9260,-44.7
47102,백령도,2014.11.5 12:00,400,7270,-29.7
47102,백령도,2014.11.5 12:00,500,5640,-18.9
47102,백령도,2014.11.5 12:00,700,3057,-4.5
47102,백령도,2014.11.5 12:00,850,1498,4.8
47102,백령도,2014.11.5 12:00,925,806,8.8
47102,백령도,2014.11.5 12:00,1000,154,13.4
47102,백령도,2014.11.6 0:00,10,30890,-48.7
47102,백령도,2014.11.6 0:00,20,26380,-53.5
47102,백령도,2014.11.6 0:00,30,23810,-58.1
47102,백령도,2014.11.6 0:00,50,20610,-61.1
