지점,지점명,일시(UTC),기압(hPa),고도(gpm),기온(°C)
47102,백령도,2018-11-02 00:00,10,30940,-48.7
47102,백령도,2018-11-02 00:00,20,26430,-53.9
47102,백령도,2018-11-02 00:00,30,23830,-56.3
47102,백령도,2018-11-02 00:00,50,20630,-65.7
47102,백령도,2018-11-02 00:00,70,18570,-66.9
47102,백령도,2018-11-02 00:00,100,16400,-61.9
47102,백령도,2018-11-02 00:00,150,13850,-56.7
47102,백령도,2018-11-02 00:00,200,12010,-53.9
47102,백령도,2018-11-02 00:00,250,10550,-47.7
47102,백령도,2018-11-02 00:00,300,9340,-45.1
47102,백령도,2018-11-02 00:00,400,7360,-30.3
47102,백령도,2018-11-02 00:00,500,5730,-18.5
47102,백령도,2018-11-02 00:00,700,3138,-2.9
47102,백령도,2018-11-02 00:00,850,1576,5
47102,백령도,2018-11-02 00:00,925,882,9.2
47102,백령도,2018-11-02 00:00,1000,232,12.6
47102,백령도,2018-11-02 12:00,10,30910,-49.1
47102,백령도,2018-11-02 12:00,20,26410,-52.3
47102,백령도,2018-11-02 12:00,30,23810,-55.9
47102,백령도,2018-11-02 12:00,50,20620,-64.9
47102,백령도,2018-11-02 12:00,70,18580,-67.5
47102,백령도,2018-11-02 12:00,100,16430,-64.7
47102,백령도,2018-11-02 12:00,150,13890,-55.9
47102,백령도,2018-11-02 12:00,200,12040,-51.3
47102,백령도,2018-11-02 12:00,250,10580,-45.9
47102,백령도,2018-11-02 12:00,300,9360,-42.7
47102,백령도,2018-11-02 12:00,400,7380,-30.1
47102,백령도,2018-11-02 12:00,500,5740,-16.7
47102,백령도,2018-11-02 12:00,700,3138,-.5
47102,백령도,2018-11-02 12:00,850,1569,5.2
47102,백령도,2018-11-02 12:00,925,873,8.4
47102,백령도,2018-11-02 12:00,1000,224,12
47102,백령도,2018-11-03 00:00,10,30990,-46.1
47102,백령도,2018-11-03 00:00,20,26480,-53.1
47102,백령도,2018-11-03 00:00,30,23880,-55.3
47102,백령도,2018-11-03 00:00,50,20670,-63.1
47102,백령도,2018-11-03 00:00,70,18610,-67.9
47102,백령도,2018-11-03 00:00,100,16470,-67.3
47102,백령도,2018-11-03 00:00,150,15930,
47102,백령도,2018-11-03 00:00,200,12110,-51.5
47102,백령도,2018-11-03 00:00,250,10660,-47.3
47102,백령도,2018-11-03 00:00,300,9430,-39.9
47102,백령도,2018-11-03 00:00,400,7410,-28.5
47102,백령도,2018-11-03 00:00,500,5780,-16.5
47102,백령도,2018-11-03 00:00,700,3150,1.2
47102,백령도,2018-11-03 00:00,850,1569,6.6
47102,백령도,2018-11-03 00:00,925,872,9.2
47102,백령도,2018-11-03 00:00,1000,224,10.6
47102,백령도,2018-11-03 12:00,10,30930,-49.5
47102,백령도,2018-11-03 12:00,20,26430,-54.1
47102,백령도,2018-11-03 12:00,30,23840,-54.3
47102,백령도,2018-11-03 12:00,50,20630,-60.5
47102,백령도,2018-11-03 12:00,70,18560,-66.1
47102,백령도,2018-11-03 12:00,100,16420,-66.7
47102,백령도,2018-11-03 12:00,150,13910,-58.1
47102,백령도,2018-11-03 12:00,200,12060,-52.5
47102,백령도,2018-11-03 12:00,250,10610,-48.9
47102,백령도,2018-11-03 12:00,300,9390,-42.9
47102,백령도,2018-11-03 12:00,400,7390,-27.7
47102,백령도,2018-11-03 12:00,500,5750,-16.7
47102,백령도,2018-11-03 12:00,700,3128,2.4
47102,백령도,2018-11-03 12:00,850,1551,6.4
47102,백령도,2018-11-03 12:00,925,852,11.2
47102,백령도,2018-11-03 12:00,1000,198,
47102,백령도,2018-11-04 00:00,100,16380,-61.9
47102,백령도,2018-11-04 00:00,150,13850,-57.5
47102,백령도,2018-11-04 00:00,200,12020,-55.9
47102,백령도,2018-11-04 00:00,250,10590,-49.9
47102,백령도,2018-11-04 00:00,300,9390,-42.9
47102,백령도,2018-11-04 00:00,400,7380,-26.9
47102,백령도,2018-11-04 00:00,500,5740,-15.9
47102,백령도,2018-11-04 00:00,700,3111,.8
47102,백령도,2018-11-04 00:00,850,1540,4.8
47102,백령도,2018-11-04 00:00,925,846,9
47102,백령도,2018-11-04 00:00,1000,200,11.6
47102,백령도,2018-11-04 12:00,10,30930,-50.3
47102,백령도,2018-11-04 12:00,20,26430,-53.7
47102,백령도,2018-11-04 12:00,30,23830,-57.1
47102,백령도,2018-11-04 12:00,50,20630,-61.3
47102,백령도,2018-11-04 12:00,70,18540,-63.3
47102,백령도,2018-11-04 12:00,100,16340,-60.1
47102,백령도,2018-11-04 12:00,150,13810,-59.7
47102,백령도,2018-11-04 12:00,200,12020,-59.7
47102,백령도,2018-11-04 12:00,250,10600,-51.3
47102,백령도,2018-11-04 12:00,300,9390,-42.3
